ticker,rd_expense,market_cap,analyst_rating,patent_activity,news_sentiment,revenue_growth,Tot.Ret.Idx.Gross,Last.Price,Volume,Number.of.Employees,GM,Volatil.360D,BEst.Target.Px,Rec.Consensus,Tot.Analyst.Rec,Percent.Change.in.Institutional.Holdings,Shrt.Int,industry,Earnings.Conference.Call.Date,rd_intensity,rd_intensity_log,rd_intensity_score,analyst_sentiment_score,patent_activity_log,patent_activity_score,news_sentiment_score,growth_momentum_score,DAII_3.5_Score,innovation_quartile
0170016D US,1713.626,111818663296.5,3.9559012750624998,452,0,7.4481073355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#N/A N/A,#N/A N/A,1.532504458094016e-8,1.532504444926565e-8,0.09750797537789149,79.11802550125,6.115892125483034,29.005414061353747,73.80936067525212,23.903940494424695,33.305133490012004,Q2
035420 KS,1857936,40200000000000,4.470588207,452,0,11.03417451,256500,256500,1408642,NA,NA,40.09288,322324,4.470588207,34,69.36867976,NA,Media & Entertainment,#N/A N/A,4.621731343283582e-8,4.621731246380667e-8,0.29406482837112585,89.41176413999999,6.115892125483034,29.005414061353747,73.80936067525212,27.270722057785402,40.95238295847723,Q2
ABBV US,12791,418000000000,4.272727489,53175,0,3.711476858,236.775,235.56,1162405,55000,69.99325452,27.59024421,246.4516144,4.272727489,33,15.05601106,18891139,"Pharmaceuticals, Biotechnology",#N/A N/A,3.060047846889952e-8,3.060047790524908e-8,0.19470029310614612,85.45454978000001,10.881362445721418,100.00000000000001,73.80936067525212,20.39580247342046,87.30171338370113,Q4
AIEQ US,1713.626,113697998,0,452,0,7.4481073355,43.73,44.01,1287,NA,NA,22.22169486,NA,0,0,-4.304487084,36,#N/A N/A,#N/A N/A,1.5071734156655951e-5,1.5071620579268995e-5,95.89552664682186,0,6.115892125483034,29.005414061353747,73.80936067525212,23.903940494424695,70.96447033185522,Q4
AMAT US,3570,185000000000,4.116279125,452,0.106781477,4.386223138,231.68,231.28,1560477,36500,48.67456289,47.80869677,242.3027802,4.116279125,43,13.73138947,17115618,Semiconductors & Semiconductor,#N/A N/A,1.9297297297297298e-8,1.9297297129452938e-8,0.12278204996976164,82.32558250000001,6.115892125483034,29.005414061353747,100,21.029288469333782,41.57701898822787,Q3
ANET US,996.717,156000000000,4.571428776,452,0,19.50418486,124.02,125.84,1524487,4412,64.13264838,54.55498737,163.6324005,4.571428776,28,13.47959154,12518459,Technology Hardware & Equipmen,#N/A N/A,6.389211538461538e-9,6.3892115838186596e-9,0.0406523509841423,91.42857552000001,6.115892125483034,29.005414061353747,73.80936067525212,35.22279693542078,45.384770406970596,Q3
APH US,453,164000000000,4.300000191,269.1,0,21.2510056,134.33,136.065,1086665,125000,33.76339283,35.62482545,148.3157959,4.300000191,20,23.9261019,9434248,Technology Hardware & Equipmen,1/28/2026,2.7621951219512194e-9,2.762195135468247e-9,0.017574895534549367,86.00000381999999,5.59879226079857,20.964286386480705,73.80936067525212,36.86280075457626,37.054688812597306,Q2
ARES US,1713.626,46365436647,4.105263233,452,0,4.615722324,141.52,142.175,201136,3200,NA,39.02358457,184.5882416,4.105263233,19,33.75997881,6191029,Financial Services,#N/A N/A,3.695912567472558e-8,3.695912507686158e-8,0.23515817327079394,82.10526465999999,6.115892125483034,29.005414061353747,73.80936067525212,21.244753933485004,34.0045212923827,Q2
ASAN US,341.467,2830238162,3.133333445,452,0,10.93817049,11.98,12.165,811481,1819,89.33615702,70.66699947,16.10769272,3.133333445,15,54.26792771,14334482,Software & Services,12/2/2025,1.2064956390761858e-7,1.2064955661685642e-7,0.767651541559717,62.666668900000005,6.115892125483034,29.005414061353747,73.80936067525212,27.18058861944857,25.73078082513859,Q1
BABA US,57151,382000000000,4.840000153,452,-0.007304744,5.862821515,160.13,160.435,2451277,124320,39.95214519,46.62626311,201.7665863,4.840000153,50,-0.892945676,41333243,Consumer Discretionary Distrib,11/25/2025,1.4960994764397905e-7,1.496099363501952e-7,0.951916455330202,96.80000306000001,6.115892125483034,29.005414061353747,72.01770241355177,22.415593842396152,43.19042541684109,Q3
BIDU US,22133,39773529871,4.540540695,283,-0.487459125,-1.094369901,113.445,115.088,1235477,35900,50.34591549,46.2832842,149.3088226,4.540540695,37,6.75010693,6463495,Media & Entertainment,#N/A N/A,5.564756276796492e-7,5.564754727452637e-7,3.5406616192519937,90.8108139,5.648974238161206,21.744637948159752,0,15.883830031968921,12.814233923987612,Q1
BLK US,1713.626,167000000000,4.636363506,452,-0.025080446,14.2673162,1018.66,1018.31,66181,21100,NA,25.32333518,1328.5,4.636363506,22,8.970658242,1203585,Financial Services,#N/A N/A,1.0261233532934132e-8,1.0261233587916293e-8,0.06528869233297915,92.72727012,6.115892125483034,29.005414061353747,67.65779830933903,30.306159294161933,42.21965176665189,Q3
BX US,1713.626,169000000000,3.920000076,452,0,64.9037791,136.45,136.7,1658013,4895,NA,36.09603095,178.4736786,3.920000076,25,15.20367888,14964769,Financial Services,#N/A N/A,1.0139798816568048e-8,1.013979872698912e-8,0.06451604417078267,78.40000152,6.115892125483034,29.005414061353747,73.80936067525212,77.84623632835418,56.44995255316345,Q4
CAT US,2107,259000000000,3.962962866,452,0,-3.356695497,553.3,557.68,390681,113200,35.98882871,30.88276738,605.291687,3.962962866,27,17.89573363,6765731,Capital Goods,1/29/2026,8.135135135135135e-9,8.13513519903329e-9,0.05176106113814027,79.25925731999999,6.115892125483034,29.005414061353747,73.80936067525212,13.759844134244123,28.91081883090476,Q1
CME US,255.8,99637326593,3.526315689,450,0,9.880083888,276.31,272.42,575133,3760,NA,18.055935,289.6842041,3.526315689,19,10.31616474,4107908,Financial Services,#N/A N/A,2.5673109541055387e-9,2.5673110271369634e-9,0.016334915128644593,70.52631378,6.111467339502679,28.936606715941387,73.80936067525212,26.18720330603786,29.17231992698767,Q1
COIN US,1468.252,70250302861,3.878048897,452,-0.011775474,111.1717893,260.53,256.795,2573207,3772,NA,80.24503561,384.7666626,3.878048897,41,29.74234816,13396719,Financial Services,#N/A N/A,2.090029423652651e-8,2.0900293943607296e-8,0.1329813661546417,77.560977940000015,6.115892125483034,29.005414061353747,70.92115196081426,100,64.86768074836338,Q4
CRWD US,1076.901,128000000000,4.08771944,452,0.071534351,29.39135443,511.325,524.19,360904,10118,74.92222326,47.76762567,529.166687,4.08771944,57,13.88897446,6681281,Software & Services,12/2/2025,8.4132890625e-9,8.41328891900914e-9,0.053530857380393496,81.75438879999999,6.115892125483034,29.005414061353747,91.35482304388857,44.50537269384568,48.93021092013542,Q3
CSCO US,9300,310000000000,4.074074268,454,0.024017553,5.298961024,78.51,78.63,4290811,65700,64.938044970000007,22.83191125,86.20833588,4.074074268,27,28.88616233,48002950,Technology Hardware & Equipmen,#N/A N/A,3e-8,2.9999999589720485e-8,0.19087965656578518,81.48148536000001,6.12029741895095,29.073918289724435,79.70022382641473,21.886213043590843,35.65015075205536,Q2
DOCU US,588.455,12999370123,3.523809433,452,0.106781477,7.779369285,64.64,64.91,183329,6838,79.11610659,49.6855479,94.0625,3.523809433,21,-3.708479758,4732722,Software & Services,12/4/2025,4.526796255757322e-8,4.526796146500934e-8,0.28802443520149024,70.47618865999999,6.115892125483034,29.005414061353747,100,24.214945997096308,36.20486069938033,Q2
EADSY US,3250,188000000000,3.799999952,452,0,5.781865966,59.18,58.745,75580,156921,15.41961577,29.73165982,59.96749878,3.799999952,5,31.13898791,527059,Capital Goods,#N/A N/A,1.728723404255319e-8,1.7287233939245605e-8,0.10999271074744475,75.99999904,6.115892125483034,29.005414061353747,73.80936067525212,22.339588671114623,30.813582189275387,Q1
JBL US,26,21595030928,4.636363506,58,0,3.181802444,202.2107,203.33,89208,135000,8.878598752,40.42658147,247.1000061,4.636363506,11,7.292145287,3871198,Technology Hardware & Equipmen,#N/A N/A,1.203980679012992e-9,1.2039806921961515e-9,0.007660514139372992,92.72727012,4.07753744390572,0,73.80936067525212,19.898517295853274,18.26778020478339,Q1
KO US,0,306000000000,4.8125,13301,0.033955117,2.856580845,71.055,71.03,2143452,69700,61.06330082,16.80440535,79.44000244,4.8125,32,26.84084865,35775779,"Food, Beverage & Tobacco",#N/A N/A,0,0,0,96.25,9.495669678844367,81.56242417744055,82.13764239190805,19.59318278028538,82.06420079574028,Q4
KSPI US,1713.626,13929177951,4.363636494,452,0,35.16563975,73.01,72.21,177667,NA,NA,40.72816449,98.28778076,4.363636494,11,24.1949212,696575,Financial Services,#N/A N/A,1.230242018608841e-7,1.2302419436929572e-7,0.7827605430548061,87.27272988,6.115892125483034,29.005414061353747,73.80936067525212,49.92656432550298,50.041317393134086,Q3
KYCCF US,28856,81888027203,4.421052456,452,0,9.496344419,336.7,346.079,1742,12261,83.81298123,41.03778543,462.4455261,4.421052456,19,36.73169016,204721,Technology Hardware & Equipmen,#N/A N/A,3.5238362658885557e-7,3.523835644136008e-7,2.2420951558193694,88.42104911999999,6.115892125483034,29.005414061353747,73.80936067525212,25.826929249112762,41.44717869305277,Q3
LRCX US,2096.387,187000000000,4.228571415,452,0,23.68408976,148.55,149.83,2283088,19000,48.70502389,50.27890191,163.1999969,4.228571415,35,9.781381112,33328175,Semiconductors & Semiconductor,#N/A N/A,1.1210625668449199e-8,1.1210625698198753e-8,0.0713293470808238,84.57142830000001,6.115892125483034,29.005414061353747,73.80936067525212,39.14710344423101,43.12919796435888,Q3
MA US,1713.626,475000000000,4.489361763,153,0,12.22806598,528.95,526.38,470466,35300,NA,21.34616985,655.8649902,4.489361763,47,21.74832752,6227798,Financial Services,#N/A N/A,3.607633684210526e-9,3.607633740785938e-9,0.022954129962465597,89.78723526,5.0369526024136295,12.227435471547379,73.80936067525212,28.391607862276793,29.194298707931917,Q1
MARUY US,0,40759992429,5,452,0,7.442960948,245.43,243.077,3151,51834,14.71836037,31.24850425,313.7900085,5,1,-5.192926237,3928,Capital Goods,#N/A N/A,0,0,0,100,6.115892125483034,29.005414061353747,73.80936067525212,23.899108805080974,45.395080439920626,Q3
MC US,1713.626,4817637476,3.666666746,452,0,39.75405617,61.38,61.7215,84293,1309,NA,39.8606617,76.5,3.666666746,9,0.475370934,4011397,Financial Services,#N/A N/A,3.556984120404995e-7,3.556983487971825e-7,2.263185986265397,73.33333492,6.115892125483034,29.005414061353747,73.80936067525212,54.23440214787491,45.09159905738487,Q3
MCD US,1713.626,216000000000,3.883720875,452,0.049125265,1.672177832,303.465,303.015,284266,150000,58.05941358,18.88017559,332.4515991,3.883720875,43,23.73735237,7258102,Consumer Services,#N/A N/A,7.933453703703704e-9,7.933453640312488e-9,0.05047783089844819,77.67441749999999,6.115892125483034,29.005414061353747,85.85847381261453,18.481205219989608,33.56367477589577,Q2
MCO US,1713.626,83580400000,4.071428776,193,0,19.81068289,468.5,470.81,71370,16000,NA,25.56118747,540.5,4.071428776,28,25.21739827,2032612,Financial Services,#N/A N/A,2.0502725519380142e-8,2.0502725307165348e-8,0.13045177396053484,81.42857552000001,5.267858159063328,15.818117250183784,73.80936067525212,35.51055281572,30.1449216288886,Q1
MFG US,1713.626,81604787668,4,452,0,5.205263296,6.555,6.565,383571,52554,NA,35.74635094,7.00150013,4,2,13.64849573,3973077,Banks,11/21/2025,2.0999086560603488e-8,2.0999086249205477e-8,0.1336099475420356,80,6.115892125483034,29.005414061353747,73.80936067525212,21.798244869039518,32.93008300204659,Q2
MQ US,60.059,2076936155,3.5,452,0,-25.01970655,4.715,4.75,892291,854,69.39890926,65.82762042,6.199999809,3.5,14,6.428171335,15358261,Financial Services,#N/A N/A,2.8917114209512134e-8,2.891711384057553e-8,0.1839896278083315,70,6.115892125483034,29.005414061353747,73.80936067525212,0,17.608879258349884,Q1
MSBHF US,0,93672537707,3.117647171,35352,-0.069172283,-4.854964081,23.25,23.32,333,62062,9.863752048,33.99895259,22.5010376,3.117647171,17,123.3365715,8868174,Capital Goods,#N/A N/A,0,0,0,62.35294342000001,10.473138533353255,96.76248976267144,56.84325038889236,12.353193672857527,62.835271238712714,Q4
MSFT US,32488,3670000000000,4.931506634,452,-0.001345312,14.93215623,493.2,493.823,4450772,228000,68.82374239,23.51003645,630.7750244,4.931506634,73,1.229377542,52549516,Software & Services,#N/A N/A,8.852316076294278e-9,8.852315952166088e-9,0.05632423506233214,98.63013268,6.115892125483034,29.005414061353747,73.47939163604082,30.930344800642374,47.62450417786303,Q3
NOW US,2543,169000000000,4.734694004,83,0,22.43897001,812.395,818.14,287422,26293,79.17880554,38.19968084,1160.07312,4.734694004,49,11.45551597,2683339,Software & Services,#N/A N/A,1.504733727810651e-8,1.5047337262906117e-8,0.09574102027512135,94.69388008,4.430816798843313,2.8017602438139195,73.80936067525212,37.97812193482558,29.441331372492414,Q1
NTRS US,1713.626,23581044741,2.888888836,452,0,31.02463583,124.69,125.39,149712,23300,NA,28.18522318,134.9333344,2.888888836,18,26.80060186,2562999,Financial Services,1/22/2026,7.266963863651659e-8,7.266963588848355e-8,0.4623718443618698,57.77777672,6.115892125483034,29.005414061353747,73.80936067525212,46.038780027763416,30.860665775176578,Q2
NU US,1713.626,74587391352,4.285714149,452,0,43.44388375,15.435,15.565,7625657,8716,NA,46.35779693,17.424999239999998,4.285714149,21,35.53413735,118915151,Banks,#N/A N/A,2.297474102442987e-8,2.2974740734629877e-8,0.14618035603629706,85.71428298000001,6.115892125483034,29.005414061353747,73.80936067525212,57.69859923728272,51.974877797905464,Q4
SMCAY US,33351,21945511752,5,452,0,1.961066996,17.18,16.91,50164,23114,45.83200776,36.3530704,23.98999977,5,1,604.4980439,451986,Capital Goods,#N/A N/A,1.5197184908189968e-6,1.5197173360567949e-6,9.669437571692104,100,6.115892125483034,29.005414061353747,73.80936067525212,18.752429004676657,51.602229562008205,Q4
SNY US,7394,124000000000,4.636363506,13841,0,6.410687683,50.37,50.285,493482,82878,70.18245044,26.95967512,60.97000122,4.636363506,11,-2.885462138,5391754,"Pharmaceuticals, Biotechnology",1/29/2026,5.962903225806452e-8,5.962903037858348e-8,0.3793989665224803,92.72727012,9.535462727401809,82.1812233802175,73.80936067525212,22.92995836036385,79.82391289420198,Q4
SOFI US,1713.626,31727309088,3.153846264,452,0,29.32846768,26.31,26.545,16125427,5000,NA,61.0186122,27.33333397,3.153846264,26,37.47161891,110284431,Financial Services,#N/A N/A,5.4011072771631076e-8,5.40110712668038e-8,0.3436538291717261,63.07692528,6.115892125483034,29.005414061353747,73.80936067525212,44.446331426580734,33.15054690629432,Q2
SOXX US,1713.626,15732123047,0,452,0,7.4481073355,280.43,284.085,1304029,NA,NA,40.17742587,NA,0,0,-18.80811834,5015454,#N/A N/A,#N/A N/A,1.0892528585496767e-7,1.0892527996975873e-7,0.6930540105435137,0,6.115892125483034,29.005414061353747,73.80936067525212,23.903940494424695,0,Q1
T US,955,181000000000,4.3125,5255,0,-0.075146208,25.5451,25.33,4792061,140990,59.76572718,22.78909737,30.50926018,4.3125,32,15.28005334,86628864,Telecommunication Services,#N/A N/A,5.276243093922652e-9,5.276242984145247e-9,0.03357091541815791,86.25,8.567125560164447,67.1231595015277,73.80936067525212,16.840728877292772,62.1045572467009,Q4
TKPHF US,730227,44698746304,3.882352829,452,-0.106781477,7.453253723,NA,28.095,50026,47455,65.50912562,NA,32.04206848,3.882352829,17,88.55081788,3604316,"Pharmaceuticals, Biotechnology",#N/A N/A,1.633663268839049e-5,1.633649924707687e-5,100,77.64705658,6.115892125483034,29.005414061353747,47.618721350504245,23.908772183768424,100,Q4
TM US,1326496,310000000000,4.199999809,452,0,6.522580777,196.465,197.175,26238,383853,19.93899915,30.60848909,229.2324982,4.199999809,5,1448.11072,708268,Automobiles & Components,#N/A N/A,4.27901935483871e-6,4.279010199869777e-6,27.22586695209501,83.99999618000001,6.115892125483034,29.005414061353747,73.80936067525212,23.035009266444302,59.50193423401288,Q4
TMO US,1390,215000000000,4.5,1762,0,0.051333504,571.895,571.065,260946,125000,41.28361202,29.64071164,619.4347534,4.5,28,11.1767573,4409154,"Pharmaceuticals, Biotechnology",#N/A N/A,6.465116279069767e-9,6.465116199256801e-9,0.041135305888300194,90,7.47477218239787,50.13658964028874,73.80936067525212,16.95947443943081,51.967748958470615,Q4
TOST US,351,19533360000,4.133333206,452,0,28.33117723,33.22,33.42,1961887,5700,23.99193548,47.21529984,47.25925827,4.133333206,30,17.56056445,25632101,Financial Services,#N/A N/A,1.7969258745039255e-8,1.7969258586193866e-8,0.11433219848608768,82.66666412,6.115892125483034,29.005414061353747,73.80936067525212,43.51002462110551,43.964230544743714,Q3
TXN US,1959,143000000000,3.391304255,452,0,-10.71978994,156.85,158.66,951620,34000,58.14206253,38.13396066,191.3330536,3.391304255,46,11.0997507,17620587,Semiconductors & Semiconductor,#N/A N/A,1.3699300699300699e-8,1.3699300711023729e-8,0.08716392835577334,67.8260851,6.115892125483034,29.005414061353747,73.80936067525212,6.846997995651511,19.25108907670355,Q1
WCPAY US,1713.626,111818663296.5,3.9559012750624998,452,0,7.4481073355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.532504458094016e-8,1.532504444926565e-8,0.09750797537789149,79.11802550125,6.115892125483034,29.005414061353747,73.80936067525212,23.903940494424695,33.305133490012004,Q2
XOM US,987,491000000000,4.058823586,452,-0.01374924,1.359438537,117.3748,116.79,3019877,60900,14.87234964,23.23446041,129.4482727,4.058823586,34,16.49328314,41661225,Energy,#N/A N/A,2.0101832993890022e-9,2.0101833510867904e-9,0.01279010376457411,81.17647172,6.115892125483034,29.005414061353747,70.43703996995417,18.18758972387408,30.948003959724865,Q2
ZM US,852.415,24811921156,3.823529482,452,0,3.052842095,80.37,81.04,313743,7412,75.78730634,32.70685263,93.42308044,3.823529482,34,24.13516693,6750433,Software & Services,11/24/2025,3.4355058386676745e-8,3.4355057763561676e-8,0.21858939056297044,76.47058964,6.115892125483034,29.005414061353747,73.80936067525212,19.777442786009967,30.062410973031252,Q1
